mbit/s,time,imgs,mb_dl,endpoint
1168.44,48.62,65000,7101.21,http://s3.eu-west-1.amazonaws.com
1082.07,52.47,65000,7096.46,http://s3.eu-west-1.amazonaws.com
1244.99,45.66,65000,7105.96,http://s3.eu-west-1.amazonaws.com
903.2,63.08,65000,7121.53,http://s3.eu-west-1.amazonaws.com
757.59,75.01,65000,7103.52,http://s3.eu-west-1.amazonaws.com
1089.68,52.07,65000,7092.16,http://s3.eu-west-1.amazonaws.com
1113.89,50.91,65000,7089.05,http://s3.amazonaws.com
1096.69,51.61,65000,7075.43,http://s3.amazonaws.com
1104.46,51.84,65000,7157.43,http://s3.amazonaws.com
9897.59,5.77,65000,7138.64,http://10.0.2.1:80
10561.25,5.39,65000,7110.36,http://10.0.2.1:80
10142.13,5.59,65000,7086.81,http://10.0.2.1:80
10333.31,5.47,65000,7067.98,http://10.0.2.1:80
9007.77,6.32,65000,7119.52,http://10.0.2.1:80
10780.16,5.27,65000,7105.48,http://10.0.2.1:80
