mbit/s,time,imgs,mb_dl,endpoint
939.65,4.68,5000,549.11,http://s3.eu-west-1.amazonaws.com
742.26,5.73,5000,532.02,http://s3.eu-west-1.amazonaws.com
526.57,8.23,5000,541.91,http://s3.amazonaws.com
3427.08,1.3,5000,557.76,http://10.0.2.1:80
3606.4,1.24,5000,556.74,http://10.0.2.1:80
701.39,6.23,5000,546.3,http://s3.eu-west-1.amazonaws.com
369.57,11.58,5000,534.95,http://s3.eu-west-1.amazonaws.com
1037.73,4.21,5000,545.97,http://s3.amazonaws.com
3467.42,1.24,5000,539.18,http://10.0.2.1:80
1879.17,2.31,5000,543.32,http://10.0.2.1:80
412.42,10.51,5000,541.61,http://s3.eu-west-1.amazonaws.com
603.87,7.43,5000,560.84,http://s3.eu-west-1.amazonaws.com
663.22,6.46,5000,535.38,http://s3.amazonaws.com
3529.22,1.21,5000,534.24,http://10.0.2.1:80
3774.11,1.18,5000,556.21,http://10.0.2.1:80
