iarai-playground
Warmup ... batch 50, workers 4
Benchmark starts: 0
((5)-get_item) __getitem__ id (140361798698032) 28584.53941345215 ms
((5)-get_item) __getitem__ id (140361798698032) 157.00840950012207 ms
((5)-get_item) __getitem__ id (140361798698032) 189.070463180542 ms
((5)-get_item) __getitem__ id (140361798698032) 176.133394241333 ms
((5)-get_item) __getitem__ id (140361798698032) 154.64544296264648 ms
((5)-get_item) __getitem__ id (140361798698032) 142.32921600341797 ms
((5)-get_item) __getitem__ id (140361798698032) 117.45905876159668 ms
((5)-get_item) __getitem__ id (140361798698032) 164.52693939208984 ms
((5)-get_item) __getitem__ id (140361798698032) 140.3350830078125 ms
((5)-get_item) __getitem__ id (140361798698032) 147.03893661499023 ms
((5)-get_item) __getitem__ id (140361798698032) 149.0464210510254 ms
((5)-get_item) __getitem__ id (140361798698032) 151.2773036956787 ms
((5)-get_item) __getitem__ id (140361798698032) 141.21127128601074 ms
((5)-get_item) __getitem__ id (140361798698032) 143.1267261505127 ms
((5)-get_item) __getitem__ id (140361798698032) 155.06482124328613 ms
((5)-get_item) __getitem__ id (140361798698032) 152.44197845458984 ms
((5)-get_item) __getitem__ id (140361798698032) 144.8218822479248 ms
((5)-get_item) __getitem__ id (140361798698032) 130.85341453552246 ms
((5)-get_item) __getitem__ id (140361798698032) 144.37603950500488 ms
((5)-get_item) __getitem__ id (140361798698032) 145.36166191101074 ms
((5)-get_item) __getitem__ id (140361798698032) 138.53073120117188 ms
((5)-get_item) __getitem__ id (140361798698032) 159.24715995788574 ms
((5)-get_item) __getitem__ id (140361798698032) 163.6195182800293 ms
((5)-get_item) __getitem__ id (140361798698032) 161.01431846618652 ms
((5)-get_item) __getitem__ id (140361798698032) 163.37108612060547 ms
((5)-get_item) __getitem__ id (140361798698032) 123.55160713195801 ms
((5)-get_item) __getitem__ id (140361798698032) 147.06945419311523 ms
((5)-get_item) __getitem__ id (140361798698032) 146.79288864135742 ms
((5)-get_item) __getitem__ id (140361798698032) 154.1149616241455 ms
((5)-get_item) __getitem__ id (140361798698032) 143.57972145080566 ms
((5)-get_item) __getitem__ id (140361798698032) 169.97933387756348 ms
((5)-get_item) __getitem__ id (140361798698032) 151.48043632507324 ms
((5)-get_item) __getitem__ id (140361798698032) 124.1300106048584 ms
((5)-get_item) __getitem__ id (140361798698032) 155.00164031982422 ms
((5)-get_item) __getitem__ id (140361798698032) 138.2615566253662 ms
((5)-get_item) __getitem__ id (140361798698032) 183.22038650512695 ms
((5)-get_item) __getitem__ id (140361798698032) 144.3016529083252 ms
((5)-get_item) __getitem__ id (140361798698032) 114.501953125 ms
((5)-get_item) __getitem__ id (140361798698032) 169.27003860473633 ms
((5)-get_item) __getitem__ id (140361798698032) 147.84502983093262 ms
((5)-get_item) __getitem__ id (140361798698032) 145.9789276123047 ms
((5)-get_item) __getitem__ id (140361798698032) 160.89534759521484 ms
((5)-get_item) __getitem__ id (140361798698032) 108.73603820800781 ms
((5)-get_item) __getitem__ id (140361798698032) 113.27028274536133 ms
((5)-get_item) __getitem__ id (140361798698032) 177.24251747131348 ms
((5)-get_item) __getitem__ id (140361798698032) 150.8946418762207 ms
((5)-get_item) __getitem__ id (140361798698032) 154.04725074768066 ms
((5)-get_item) __getitem__ id (140361798698032) 147.88317680358887 ms
((5)-get_item) __getitem__ id (140361798698032) 138.11373710632324 ms
((5)-get_item) __getitem__ id (140361798698032) 145.56336402893066 ms
((4)-threadedmapdataset-fetcher) fetch id (140361798735616) 35873.47769737244 ms
((5)-get_item) __getitem__ id (140361798698032) 334.00845527648926 ms
((5)-get_item) __getitem__ id (140361798698032) 137.06302642822266 ms
((5)-get_item) __getitem__ id (140361798698032) 187.12568283081055 ms
((5)-get_item) __getitem__ id (140361798698032) 153.78952026367188 ms
((5)-get_item) __getitem__ id (140361798698032) 155.19356727600098 ms
((5)-get_item) __getitem__ id (140361798698032) 176.79572105407715 ms
((5)-get_item) __getitem__ id (140361798698032) 148.76818656921387 ms
